APT_ICAO,date,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,DLY_APT_ARR_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_W_1,DLY_APT_ARR_D_1,type,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,scheduled_service,year,month,month_name,day_of_week,is_weekend,quarter,season,delay_per_arr,pct_arr_delayed,pct_arr_delayed_15,weather_delay_min,weather_share,delay_level,is_outlier,month_start
EBBR,2024-04-19,Brussels,Belgium,280,274,554,3,1,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Friday,False,2,Spring,0.010948905109489052,0.0036496350364963502,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-19,Copenhagen - Kastrup,Denmark,372,381,753,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-19,Dublin,Ireland,353,367,720,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-19,Lisbon,Portugal,332,326,658,2458,137,66,1185,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Friday,False,2,Spring,7.539877300613497,0.42024539877300615,0.20245398773006135,1185,0.48209926769731487,High,False,2024-04-01
LOWW,2024-04-20,Vienna,Austria,311,322,633,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-20,Brussels,Belgium,230,239,469,27,4,1,27,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Saturday,True,2,Spring,0.11297071129707113,0.016736401673640166,0.0041841004184100415,27,1.0,Low,False,2024-04-01
EKCH,2024-04-20,Copenhagen - Kastrup,Denmark,259,259,518,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-20,Dublin,Ireland,326,320,646,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-20,Lisbon,Portugal,319,320,639,3347,171,94,3347,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Saturday,True,2,Spring,10.459375,0.534375,0.29375,3347,1.0,High,False,2024-04-01
LOWW,2024-04-21,Vienna,Austria,341,336,677,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-21,Brussels,Belgium,260,251,511,44,6,1,44,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Sunday,True,2,Spring,0.1752988047808765,0.02390438247011952,0.00398406374501992,44,1.0,Low,False,2024-04-01
EKCH,2024-04-21,Copenhagen - Kastrup,Denmark,353,347,700,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
